COD_PROVINCIA;NOM_PROVINCIA;COD_MUNICIPIO;NOM_MUNICIPIO;TIPO;NOMBRE;DIRECCION;CP;TELEFONO;FAX;WEB;CATALOGO;EMAIL;CENTRAL;COD_CARACTER;DESC_CARACTER;DECRETO
46;VALENCIA;250;VALÈNCIA;BIBLIOTECA ESPECIALIZADA;BIBLIOTECA ESPECIALIZADA COLEGIO OFICIAL DE INGENIEROS AGRÓNOMOS DE LEVANTE VALÈNCIA;AVENIDA BOTÁNICO CAVANILLES Nº 20;46010;TELF.963696660;FAX.963614407;HTTP://WWW.COIAL.ORG/; ;COIAL@IIES.ES;N;PR;PRIVADA;N
46;VALENCIA;250;VALÈNCIA;BIBLIOTECA ESPECIALIZADA;BIBLIOTECA ESPECIALIZADA C OFICIAL DOCTORES Y LICENCIADOS FILOSOFÍA,LETRAS Y CIENCIAS VALÈNCIA;AVENIDA TIRSO DE MOLINA Nº 3-BAJ;46009;TELF.963493910;FAX.963404138;HTTP://WWW.CDLVALENCIA.ORG/; ;CDLVALENCIA@CDLVALENCIA.ORG;N;PR;PRIVADA;N
46;VALENCIA;250;VALÈNCIA;BIBLIOTECA ESPECIALIZADA;BIBLIOTECA ESPECIALIZADA COLEGIO PROFESIONAL DE DELINEANTES Y DISEÑADORES TÉCNICOS VALÈNCIA;GRAN VÍA MARQUÉS DEL TÚRIA Nº 24 PISO 1 PTA. 1;46005;TELF.963950928/655575782; ;HTTP://WWW.CODITECVA.ORG/;HTTP://WWW.CODITECVA.ORG/;COLEGIO@CODITECVA.ORG;N;PR;PRIVADA;N
46;VALENCIA;250;VALÈNCIA;BIBLIOTECA ESPECIALIZADA;BIBLIOTECA ESPECIALIZADA COLEGIO OFICIAL DE TITULARES MERCANTILES Y EMPRESARIALES VALÈNCIA;CALLE QUEVEDO Nº 20 PISO 1 PTA. 2;46001;TELF.963524189;FAX.963524190;HTTP://WWW.COMEVA.ES/; ;COLEGIO@COMEVA.ES;N;PR;PRIVADA;N
46;VALENCIA;250;VALÈNCIA;BIBLIOTECA ESPECIALIZADA;BIBLIOTECA ESPECIALIZADA COLEGIO OFICIAL DE DECORADORES Y DISEÑADORES INTERIOR VALÈNCIA;CALLE LA PAZ Nº 6 PISO 2 PTA. 3;46003;TELF.963524339/3944504;FAX.963524339;HTTP://WWW.CDICV.COM; ;CDICV@CDICV.COM;N;PR;PRIVADA;N
46;VALENCIA;43;AIELO DE RUGAT;AGENCIA DE LECTURA;AGENCIA DE LECTURA  AIELO DE RUGAT;CALLE TRINQUET Nº S/N;46842;TELF.962897129 AYTO; ; ; ;BIB_AIELODERUGAT@YAHOO.ES;N;PU;PÚBLICA;N
46;VALENCIA;250;VALÈNCIA;BIBLIOTECA ESPECIALIZADA;BIBLIOTECA ESPECIALIZADA HISTÓRICO MILITAR VALÈNCIA;CALLE ARCHER Y ANA HUNTINTONG Nº 1;46004;TELF.961834507;FAX.961834507;HTTP://WWW.BIBLIODEF.ES;HTTP://WWW.BIBLIODEF.ES;CMARRUV@ET.MDE.ES;N;PU;PÚBLICA;N
46;VALENCIA;250;VALÈNCIA;BIBLIOTECA ESPECIALIZADA;BIBLIOTECA ESPECIALIZADA COLEGIO OFICIAL DE NOTARIOS VALÈNCIA;CALLE PASCUAL Y GENÍS Nº 21 PISO 2;46002;TELF.963512585 EXT-113;FAX.963516553;HTTP://WWW.CNOTARIAL-VALENCIA.COM; ;BIBLIOTECA@CNOTARIAL-VALENCIA.COM  / JBELTRAN@CNOTARIAL-VALENCIA.COM;N;PR;PRIVADA;N
03;ALICANTE;14;ALACANT;BIBLIOTECA ESPECIALIZADA;BIBLIOTECA ESPECIALIZADA C O APAREJADORES,ARQUITECTOS E INGENIEROS DE LA EDIFICACIÓN ALACANT;CALLE CÁTEDRA FERRÉ VIDIELLA Nº 7;03005;TELF.965227817;FAX.965124404;HTTP://WWW.COAATALICANTE.ORG/; ;BIBLIOTECA@APAREJADORESALICANTE.ORG;N;PR;PRIVADA;N
46;VALENCIA;250;VALÈNCIA;BIBLIOTECA ESPECIALIZADA;BIBLIOTECA ESPECIALIZADA IVAJ GVA JOVE VALÈNCIA;CALLE HOSPITAL Nº 2 PISO 2;46001;TELF.963985948/963985915;FAX.963985905;HTTP://WWW.GVAJOVE.ES;HTTP://WWW.BEGV.GVA.ES/IVAJGV/TIVAJ.HTML;BIBLIOTECA_IVAJ@GVA.ES;N;PU;PÚBLICA;N
